year,week,is_blocking,closest_center_label,time
1970,1,0,,1970-01-01
1970,2,0,,1970-01-08
1970,3,0,,1970-01-15
1970,4,0,,1970-01-22
1970,5,0,,1970-01-29
1970,6,0,,1970-02-05
1970,7,0,,1970-02-12
1970,8,0,,1970-02-19
1970,9,0,,1970-02-26
1970,10,0,,1970-03-05
1970,11,0,,1970-03-12
1970,12,0,,1970-03-19
1970,13,0,,1970-03-26
1970,14,0,,1970-04-02
1970,15,0,,1970-04-09
1970,16,0,,1970-04-16
1970,17,0,,1970-04-23
1970,18,0,,1970-04-30
1970,19,0,,1970-05-07
1970,20,0,,1970-05-14
1970,21,0,,1970-05-21
1970,22,0,,1970-05-28
1970,23,0,,1970-06-04
1970,24,0,,1970-06-11
1970,25,0,,1970-06-18
1970,26,0,,1970-06-25
1970,27,0,,1970-07-02
1970,28,0,,1970-07-09
1970,29,0,,1970-07-16
1970,30,0,,1970-07-23
1970,31,0,,1970-07-30
1970,32,0,,1970-08-06
1970,33,0,,1970-08-13
1970,34,0,,1970-08-20
1970,35,1,N,1970-08-27
1970,36,0,,1970-09-03
1970,37,0,,1970-09-10
1970,38,1,W,1970-09-17
1970,39,0,,1970-09-24
1970,40,0,,1970-10-01
1970,41,1,N,1970-10-08
1970,42,1,N,1970-10-15
1970,43,1,N,1970-10-22
1970,44,0,,1970-10-29
1970,45,0,,1970-11-05
1970,46,0,,1970-11-12
1970,47,0,,1970-11-19
1970,48,0,,1970-11-26
1970,49,0,,1970-12-03
1970,50,0,,1970-12-10
1970,51,0,,1970-12-17
1970,52,0,,1970-12-24
1970,53,0,,1970-12-31
1971,1,0,,1971-01-01
1971,2,0,,1971-01-08
1971,3,0,,1971-01-15
1971,4,0,,1971-01-22
1971,5,0,,1971-01-29
1971,6,0,,1971-02-05
1971,7,0,,1971-02-12
1971,8,0,,1971-02-19
1971,9,0,,1971-02-26
1971,10,0,,1971-03-05
1971,11,0,,1971-03-12
1971,12,0,,1971-03-19
1971,13,0,,1971-03-26
1971,14,0,,1971-04-02
1971,15,0,,1971-04-09
1971,16,0,,1971-04-16
1971,17,0,,1971-04-23
1971,18,0,,1971-04-30
1971,19,0,,1971-05-07
1971,20,0,,1971-05-14
1971,21,0,,1971-05-21
1971,22,0,,1971-05-28
1971,23,0,,1971-06-04
1971,24,0,,1971-06-11
1971,25,0,,1971-06-18
1971,26,0,,1971-06-25
1971,27,0,,1971-07-02
1971,28,0,,1971-07-09
1971,29,0,,1971-07-16
1971,30,0,,1971-07-23
1971,31,1,N,1971-07-30
1971,32,1,S,1971-08-06
1971,33,1,E,1971-08-13
1971,34,0,,1971-08-20
1971,35,1,N,1971-08-27
1971,36,1,E,1971-09-03
1971,37,0,,1971-09-10
1971,38,0,,1971-09-17
1971,39,0,,1971-09-24
1971,40,1,N,1971-10-01
1971,41,0,,1971-10-08
1971,42,0,,1971-10-15
1971,43,1,N,1971-10-22
1971,44,0,,1971-10-29
1971,45,0,,1971-11-05
1971,46,0,,1971-11-12
1971,47,0,,1971-11-19
1971,48,0,,1971-11-26
1971,49,0,,1971-12-03
1971,50,0,,1971-12-10
1971,51,0,,1971-12-17
1971,52,0,,1971-12-24
1971,53,0,,1971-12-31
1972,1,0,,1972-01-01
1972,2,0,,1972-01-08
1972,3,0,,1972-01-15
1972,4,0,,1972-01-22
1972,5,0,,1972-01-29
1972,6,0,,1972-02-05
1972,7,0,,1972-02-12
1972,8,0,,1972-02-19
1972,9,0,,1972-02-26
1972,10,0,,1972-03-04
1972,11,0,,1972-03-11
1972,12,0,,1972-03-18
1972,13,0,,1972-03-25
1972,14,0,,1972-04-01
1972,15,0,,1972-04-08
1972,16,0,,1972-04-15
1972,17,0,,1972-04-22
1972,18,0,,1972-04-29
1972,19,0,,1972-05-06
